0,1
Ozeane,Ozean
Särge,Sarg
Balkone,Balkon
Akkorde,Akkord
Zwischenrufe,Zwischenruf
Bratwürste,Bratwurst
Schläuche,Schlauch
Stürze,Sturz
Beete,Beet
Gehölze,Gehölz
Vorläufe,Vorlauf
Schliche,Schlich
Ventile,Ventil
Aufrufe,Aufruf
Seile,Seil
Vorstösse,Vorstoss
Tribute,Tribut
Drucke,Druck
Hirsche,Hirsch
Unfälle,Unfall
Brote,Brot
Würste,Wurst
Plane,Plan
Trümpfe,Trumpf
Stifte,Stift
Päpste,Papst
Knirpse,Knirps
Kekse,Keks
Sprösslinge,Sprössling
Edelweiße,Edelweiß
Kristalle,Kristall
Ausweise,Ausweis
Prozesse,Prozess
Takte,Takt
Bahnsteige,Bahnsteig
Pfennige,Pfennig
Dome,Dom
Kardinäle,Kardinal
Salate,Salat
Knöpfe,Knopf
Vulkane,Vulkan
Stadtrechte,Stadtrecht
Schädlinge,Schädling
Hänge,Hang
Genüsse,Genuss
Kataloge,Katalog
Pfiffe,Pfiff
Schränke,Schrank
Pedale,Pedal
Säuglinge,Säugling
Prospekte,Prospekt
Referate,Referat
Würfe,Wurf
Reflexe,Reflex
Teiche,Teich
Stiche,Stich
Helme,Helm
Moselweiße,Moselweiß
Eiweiße,Eiweiß
Gelenke,Gelenk
Kontraste,Kontrast
Emirate,Emirat
Telefonate,Telefonat
Kriminaliste,Kriminalist
Inhaltsstoffe,Inhaltsstoff
Instrumentaliste,Instrumentalist
Automobile,Automobil
Zäune,Zaun
Grüsse,Gruß
Rehe,Reh
Formate,Format
Geschütze,Geschütz
Vitamine,Vitamin
Nüsse,Nuss
Manne,Mann
Attribute,Attribut
Atome,Atom
Krawalle,Krawall
Pfeile,Pfeil
Alpine,Alpen
Nibelunge,Nibelung
Wale,Wal
Zurufe,Zuruf
Bälle,Ball
Gene,Gen
Symptome,Symptom
Schützlinge,Schützling
Magazine,Magazin
Tänze,Tanz
Pilze,Pilz
Archive,Archiv
Stande,Stand
Asse,Ass
Anlässe,Anlass
Monde,Mond
Einkünfte,Einkunft
Witze,Witz
Äste,Ast
Pokale,Pokal
Haie,Hai
Konflikte,Konflikt
Füchse,Fuchs
Bosse,Boss
Sachverhalte,Sachverhalt
Dialekte,Dialekt
Rufe,Ruf
Gesänge,Gesang
Missverständnisse,Missverständnis
Entscheide,Entscheid
Läufe,Lauf
Duelle,Duell
Hefte,Heft
Eidgenössische,Eidgenosse
Grade,Grad
Module,Modul
Herzöge,Herzog
Potenziale,Potential
Sprüche,Spruch
Lokale,Lokal
Verfehlunge,Verfehlung
Proteine,Protein
Termine,Termin
Moleküle,Molekül
Böcke,Bock
Diakone,Diakon
Erdnüsse,Erdnuss
Schwärme,Schwarm
Satzbälle,Satzball
Späne,Span
Konstrukte,Konstrukt
Pulse,Puls
Krüge,Krug
Punkteränge,Punkterang
Diagramme,Diagramm
Axiome,Axiom
Kampfe,Kampf
Rosse,Ross
Findlinge,Findling
Behältnisse,Behältnis
Fußbälle,Fußball
Fruchtsäfte,Fruchtsaft
Monatshefte,Monatsheft
Klöße,Kloß
Gehsteige,Gehsteig
Saxophone,Saxophon
Urteile,Urteil
Schwenke,Schwenk
Verstande,Verstand
Anwürfe,Anwurf
Stereotype,Stereotyp
Infrarote,Infrarot
Minderheitenrechte,Minderheitenrecht
Ständeräte,Ständerat
Verzeichnisse,Verzeichnis
Komplexe,Komplex
Nachrufe,Nachruf
Stöße,Stoß
Steinmetze,Steinmetz
Einsparpotenziale,Einsparpotential
Buhrufe,Buhruf
Gerüste,Gerüst
Spiele,Spiel
Weingute,Weingut
Hybride,Hybrid
Pseudonyme,Pseudonym
Paradiese,Paradies
Hiebe,Hieb
Mitspracherechte,Mitspracherecht
Mägde,Magd
Substantive,Substantiv
Greise,Greis
Bundesforste,Bundesforst
Abstürze,Absturz
Märkte,Markt
Tumulte,Tumult
Kapitale,Kapital
Fluge,Flug
Solarmodule,Solarmodul
Gallen,Galle
Mannschaften,Mannschaft
Partien,Partie
Athleten,Athlet
Grafen,Graf
Massnahmen,Massnahme
Medaillen,Medaille
Ehrungen,Ehrung
Alben,Album
Melodien,Melodie
Buben,Bub
Wiesen,Wiese
Gymnasien,Gymnasium
Burgen,Burg
Strassen,Straße
Lagen,Lage
Samen,Same
Pforten,Pforte
Stadien,Stadion
Stiftungen,Stiftung
Zweitligisten,Zweitligist
Vorträgen,Vortrag
Kündigungen,Kündigung
Bundesligisten,Bundesligist
Musikanten,Musikant
Schienen,Schiene
Abbildungen,Abbildung
Hasen,Hase
Bienen,Biene
Söhnen,Sohn
Affen,Affe
Erstligisten,Erstligist
Wettbewerben,Wettbewerb
Referenzen,Referenz
Kurven,Kurve
Platzierungen,Platzierung
Rängen,Rang
Tugenden,Tugend
Rassen,Rasse
Tabellen,Tabelle
Schuhen,Schuh
Abenden,Abend
Kisten,Kiste
Illustrationen,Illustration
Freundschaften,Freundschaft
Medien,Medium
Gitarristen,Gitarrist
Robben,Robbe
Landwirten,Landwirt
Gymnasiasten,Gymnasiast
Füssen,Fuß
Gitarren,Gitarre
Ligen,Liga
Kanten,Kante
Formationen,Formation
Schiiten,Schiit
Balladen,Ballade
Fußball-Bundesligisten,Fußball-Bundesligist
Paten,Pate
Statuten,Statut
Leckereien,Leckerei
Entwürfen,Entwurf
Diamanten,Diamant
Biografien,Biografie
Breiten,Breite
Meteorologen,Meteorologe
Internetseiten,Internetseite
Goldmedaillen,Goldmedaille
Stipendien,Stipendium
Oberligisten,Oberligist
Bällen,Ball
Saiten,Saite
Kapellen,Kapelle
Regionalligisten,Regionalligist
Germanen,German
Talenten,Talent
Pensionisten,Pensionist
Nominierungen,Nominierung
Ausschreibungen,Ausschreibung
Embryonen,Embryo
Grabungen,Grabung
Heimen,Heim
Erdbeeren,Erdbeere
Beeren,Beere
Bundesstraßen,Bundesstraße
Erlebnissen,Erlebnis
Plastiken,Plastik
Afghanen,Afghane
Exkursionen,Exkursion
Gängen,Gang
Krippen,Krippe
Verstärkungen,Verstärkung
Längen,Länge
Nonnen,Nonne
Dokumentationen,Dokumentation
Begebenheiten,Begebenheit
Initianten,Initiant
Spinnen,Spinne
Raupen,Raupe
Ethnien,Ethnie
Wertungen,Wertung
Maßstäben,Maßstab
Arien,Arie
Slowenen,Slowene
Nähten,Naht
Fälschungen,Fälschung
Rezensionen,Rezension
Mähren,Mähre
Biographien,Biographie
Kreationen,Kreation
Schrauben,Schraube
Impressionen,Impression
Jesuiten,Jesuit
Sektionen,Sektion
Reben,Rebe
Konzessionen,Konzession
Familiennamen,Familienname
Tagungen,Tagung
Impfungen,Impfung
Abklärungen,Abklärung
Türmen,Turm
Pistolen,Pistole
Exponaten,Exponat
Sanierungen,Sanierung
Röhren,Röhre
Gepflogenheiten,Gepflogenheit
Vandalen,Vandal
Mäusen,Maus
Aggressionen,Aggression
Beständen,Bestand
Pointen,Pointe
Brillen,Brille
Äusserungen,Äusserung
Ahlen,Ahl
Hebammen,Hebamme
Symbolen,Symbol
Wendungen,Wendung
Stämmen,Stamm
Rippen,Rippe
Birken,Birke
Landesligisten,Landesligist
Paragrafen,Paragraf
Vitrinen,Vitrine
Konstellationen,Konstellation
Bezirksligisten,Bezirksligist
Kühen,Kuh
Reptilien,Reptil
Gurken,Gurke
Planken,Planke
Schützlingen,Schützling
Börsen,Börse
Nachbesserungen,Nachbesserung
Rezepten,Rezept
Praktikanten,Praktikant
Organisten,Organist
Portionen,Portion
Osmanen,Osman
Effekten,Effekt
Nöten,Not
Anhörungen,Anhörung
Weisungen,Weisung
Variablen,Variable
Qualen,Qual
Vernehmungen,Vernehmung
Reflexionen,Reflexion
Utensilien,Utensil
Überschneidungen,Überschneidung
Anschaffungen,Anschaffung
Raben,Rabe
Ausbildungen,Ausbildung
Tribünen,Tribüne
Fichten,Fichte
Populationen,Population
Bassisten,Bassist
Höhenlagen,Höhenlage
Fortbildungen,Fortbildung
Regenten,Regent
Antiquitäten,Antiquität
Jugendmannschaften,Jugendmannschaft
Parteien,Partei
Slawen,Slaw
Schleusen,Schleuse
Ovationen,Ovation
Eulen,Eule
Fliesen,Fliese
Trophäen,Trophäe
Schubladen,Schublade
Bränden,Brand
Markgrafen,Markgraf
Hüften,Hüfte
Schwingungen,Schwingung
Konfirmanden,Konfirmand
Schalen,Schale
Sporen,Spore
Pauken,Pauke
Asteroiden,Asteroid
Geologen,Geologe
Zielgeraden,Zielgerade
Erlen,Erle
Rüben,Rübe
Funden,Fund
Exoten,Exot
Vasen,Vase
Schikanen,Schikane
Orchideen,Orchidee
Blasen,Blase
Improvisationen,Improvisation
Festlegungen,Festlegung
Proportionen,Proportion
Kosaken,Kosake
Reservierungen,Reservierung
Zuweisungen,Zuweisung
Bildschirmen,Bildschirm
Mützen,Mütze
Strophen,Strophe
Pilzen,Pilz
Kadetten,Kadett
Würden,Würde
Bohrungen,Bohrung
Mobilfunknetzen,Mobilfunknetz
Auktionen,Auktion
Bäckereien,Bäckerei
Landungen,Landung
Majestäten,Majestät
Folien,Folie
Nomaden,Nomade
Königen,König
Sinfonien,Sinfonie
Fäusten,Faust
Gewinnmitnahmen,Gewinnmitnahme
Durchgängen,Durchgang
Wespen,Wespe
Wölfen,Wolf
Katakomben,Katakombe
Banditen,Bandit
Hemmungen,Hemmung
Mücken,Mücke
Mutationen,Mutation
Missverständnissen,Missverständnis
Betrügereien,Betrügerei
Novellen,Novelle
Witwen,Witwe
Sphären,Sphäre
Utopien,Utopie
Anfeindungen,Anfeindung
Patrioten,Patriot
Auffälligkeiten,Auffälligkeit
Violinen,Violine
Auslagen,Auslage
Krücken,Krücke
Übertragungen,Übertragung
Drittligisten,Drittligist
Wahlen,Wahl
Studiengängen,Studiengang
Verben,Verb
Bronzemedaillen,Bronzemedaille
Verbandsligisten,Verbandsligist
Entzündungen,Entzündung
Arkaden,Arkade
Dünen,Düne
Dichtungen,Dichtung
Tyrannen,Tyrann
Fantasien,Fantasie
Torten,Torte
Duellen,Duell
Spesen,Spese
Katalanen,Katalane
Orangen,Orange
Möhren,Möhre
Welpen,Welpe
Lilien,Lilie
Ganoven,Ganove
Forellen,Forelle
Scheunen,Scheune
Limousinen,Limousine
Drohnen,Drohne
Pflegeheimen,Pflegeheim
Zecken,Zecke
Modifikationen,Modifikation
Stöcken,Stock
Nächtigungen,Nächtigung
Doktoranden,Doktorand
Hinterlassenschaften,Hinterlassenschaft
Landesstraßen,Landesstraße
Heuschrecken,Heuschrecke
Silben,Silbe
Gefilden,Gefilde
Geigen,Geige
Vorständen,Vorstand
Dornen,Dorn
Stauden,Staude
Mongolen,Mongole
Winden,Wind
Zyklen,Zyklus
Magazinen,Magazin
Intentionen,Intention
Sparmassnahmen,Sparmassnahme
Sonaten,Sonate
Algorithmen,Algorithmus
Osterhasen,Osterhase
Verantwortlichkeiten,Verantwortlichkeit
Pfarren,Pfarre
Basen,Base
Hymnen,Hymne
Aminosäuren,Aminosäure
Tulpen,Tulpe
Garanten,Garant
Chartplatzierungen,Chartplatzierung
Suppen,Suppe
Borken,Borke
Rampen,Rampe
Nationalmannschaften,Nationalmannschaft
Jahrgängen,Jahrgang
Kreisstraßen,Kreisstraße
Kohlen,Kohle
Biathleten,Biathlet
Triathleten,Triathlet
Erbsen,Erbse
Schenkungen,Schenkung
Kolumnen,Kolumne
Sohlen,Sohle
Paarungen,Paarung
Geraden,Gerade
Sehnen,Sehne
Konsonanten,Konsonant
Eingemeindungen,Eingemeindung
Verfilmungen,Verfilmung
Atheisten,Atheist
Möhnen,Möhne
Böen,Böe
Banken,Bank
Landgrafen,Landgraf
Matten,Matte
Karotten,Karotte
Tapeten,Tapete
Zeugnissen,Zeugnis
Automobilen,Automobil
Plasten,Plaste
Blutungen,Blutung
Vergütungen,Vergütung
Suiten,Suite
Verzierungen,Verzierung
Mitgliedschaften,Mitgliedschaft
Schlüsselzuweisungen,Schlüsselzuweisung
Schließungen,Schließung
Bestattungen,Bestattung
Verlautbarungen,Verlautbarung
Ionen,Ion
Teilnahmen,Teilnahme
Ministranten,Ministrant
Gottheiten,Gottheit
Juwelen,Juwel
Tanten,Tante
Ansagen,Ansage
Politologen,Politologe
Kollisionen,Kollision
Harmonien,Harmonie
Gardinen,Gardine
Bewilligungen,Bewilligung
Weisheiten,Weisheit
Hennen,Henne
Analphabeten,Analphabet
Knospen,Knospe
Auswertungen,Auswertung
Molkereien,Molkerei
Existenzen,Existenz
Tilden,Tilde
Säuren,Säure
Baptisten,Baptist
Schmierereien,Schmiererei
Pfaden,Pfad
Reedereien,Reederei
Logen,Loge
Nelken,Nelke
24-stunden-Rennen,24-Stunden-Rennen
Evangelien,Evangelium
Weiterbildungen,Weiterbildung
Wüsten,Wüste
Umdrehungen,Umdrehung
Zitronen,Zitrone
Posaunen,Posaune
Handschuhen,Handschuh
Auen,Aue
Streuobstwiesen,Streuobstwiese
Büchereien,Bücherei
Ungenauigkeiten,Ungenauigkeit
Varietäten,Varietät
Einbürgerungen,Einbürgerung
Buchten,Bucht
Umlagen,Umlage
Diebstählen,Diebstahl
Operetten,Operette
Löschungen,Löschung
Knollen,Knolle
Fußball-zweitligisten,Fußball-Zweitligist
Rubriken,Rubrik
Psalmen,Psalm
Tanzeinlagen,Tanzeinlage
Buddhisten,Buddhist
Nullen,Null
Lehrgängen,Lehrgang
Gilgen,Gilge
Primaten,Primat
Kufen,Kufe
Pralinen,Praline
Modulen,Modul
Hufen,Huf
Akrobaten,Akrobat
Chilenen,Chilene
Launen,Laune
Unannehmlichkeiten,Unannehmlichkeit
Legionen,Legion
Neutronen,Neutron
Wirten,Wirt
Schaltungen,Schaltung
Poren,Pore
Boliden,Bolide
Kuriositäten,Kuriosität
Trieben,Trieb
Graphen,Graph
Monographien,Monographie
Despoten,Despot
Segmenten,Segment
Grössen,Grösse
Erwähnungen,Erwähnung
Molekülen,Molekül
Seifen,Seife
Proteinen,Protein
Applikationen,Applikation
Editionen,Edition
Loren,Lore
Verknüpfungen,Verknüpfung
Parodien,Parodie
Asylanten,Asylant
Griffen,Griff
Fußball-oberligisten,Fußball-Oberligist
Demütigungen,Demütigung
Oliven,Olive
Lorenzen,Lorenz
Gentlemen,Gentleman
Buddhisten,Buddhist
Choreografien,Choreografie
Gemarkungen,Gemarkung
Paketen,Paket
Einlassungen,Einlassung
Ausdrücken,Ausdruck
Magneten,Magnet
Fabrikanten,Fabrikant
Assen,Ass
Hugenotten,Hugenotte
Protokollen,Protokoll
Gebeten,Gebet
Zeiten,Zeit
Avancen,Avance
Patronen,Patrone
Verlinkungen,Verlinkung
Vasallen,Vasall
Esten,Este
Chromosomen,Chromosom
Kippen,Kippe
Silbermedaillen,Silbermedaille
Deportationen,Deportation
Photonen,Photon
Hacken,Hacke
Keramiken,Keramik
Redundanzen,Redundanz
Fundamenten,Fundament
Schanzen,Schanze
Festivitäten,Festivität
Leoparden,Leopard
Rassisten,Rassist
Geschehnissen,Geschehen
Berufungen,Berufung
Genitalien,Genital
Feen,Fee
Befestigungen,Befestigung
Spielereien,Spielerei
Gratulationen,Gratulation
Sorben,Sorbe
Schwalben,Schwalbe
Thermen,Therme
Gesetzmäßigkeiten,Gesetzmäßigkeit
Musikkapellen,Musikkapelle
Irrungen,Irrung
Oasen,Oase
Säcken,Sack
Scheuklappen,Scheuklappe
Eingängen,Eingang
Protonen,Proton
Entgleisungen,Entgleisung
Vitaminen,Vitamin
Rissen,Riss
Schießereien,Schießerei
Gründungen,Gründung
Motetten,Motette
Dicken,Dicke
Riegen,Riege
Möwen,Möwe
Humanisten,Humanist
Annehmlichkeiten,Annehmlichkeit
Abgängen,Abgang
Atomen,Atom
Hunnen,Hunne
Entschuldigungen,Entschuldigung
Verwendungen,Verwendung
Vibrationen,Vibration
Kalifen,Kalif
Choreographien,Choreografie
Diskutanten,Diskutant
Sportwetten,Sportwette
Turnschuhen,Turnschuh
Debütanten,Debütant
Lobeshymnen,Lobeshymne
Kreisligisten,Kreisligist
Reibereien,Reiberei
Felgen,Felge
Enteignungen,Enteignung
Feindseligkeiten,Feindseligkeit
Finessen,Finesse
Stadtmusikanten,Stadtmusikant
Yachten,Yacht
Studioalben,Studioalbum
Witzen,Witz
Präfekten,Präfekt
Ballen,Ball
Bekanntschaften,Bekanntschaft
Verkleidungen,Verkleidung
Basken,Baske
Jungschützen,Jungschütze
Plazierungen,Platzierung
Zehnten,Zehnte
Begrifflichkeiten,Begrifflichkeit
Wärmepumpen,Wärmepumpe
Klausen,Klaus
Implikationen,Implikation
Eheschließungen,Eheschließung
Geheimnissen,Geheimnis
Zumutungen,Zumutung
Entbehrungen,Entbehrung
Verlockungen,Verlockung
Taxen,Taxe
Kapriolen,Kapriole
Quadraten,Quadrat
Nüssen,Nuss
Pestiziden,Pestizid
Bitzen,Bitz
Windböen,Windböe
Konstanten,Konstante
Berührungen,Berührung
Saxophonisten,Saxophonist
Hunderassen,Hunderasse
Wirrungen,Wirrung
Kongressen,Kongress
Kosovaren,Kosovare
Mimen,Mime
Wetterkapriolen,Wetterkapriole
Eroberungen,Eroberung
Kinderkrippen,Kinderkrippe
Choreografen,Choreograf
Salmonellen,Salmonelle
Zinnen,Zinne
Karden,Karde
Reklamationen,Reklamation
Mormonen,Mormone
Umgebungen,Umgebung
Menschenaffen,Menschenaffe
Enzyklopädien,Enzyklopädie
Patenten,Patent
Verwirrungen,Verwirrung
Delikatessen,Delikatesse
Würfen,Wurf
Grafschaften,Grafschaft
Fragmenten,Fragment
Sprossen,Sprosse
Redewendungen,Redewendung
Azteken,Azteke
Flotten,Flotte
Anglizismen,Anglizismus
Alpinisten,Alpinist
Nachlässigkeiten,Nachlässigkeit
Mischungen,Mischung
Superlativen,Superlativ
Halden,Halde
Agenden,Agenda
Feigen,Feige
Lamellen,Lamelle
Füchsen,Fuchs
Anthologien,Anthologie
Scheren,Schere
Klarinetten,Klarinette
Berühmtheiten,Berühmtheit
Hieroglyphen,Hieroglyphe
Widerständen,Widerstand
Schöpfungen,Schöpfung
Tätowierungen,Tätowierung
Unebenheiten,Unebenheit
Attributen,Attribut
Bosniaken,Bosniake
Horden,Horde
Abstufungen,Abstufung
Brandstiftungen,Brandstiftung
Qualifikanten,Qualifikant
Gefäßen,Gefäß
Karikaturisten,Karikaturist
Neulingen,Neuling
Stimmen,Stimme
Wahrscheinlichkeiten,Wahrscheinlichkeit
Flamen,Flamme
Nieten,Niet
Aphorismen,Aphorismus
Röcken,Rock
Zäunen,Zaun
Takten,Takt
Schamanen,Schamane
Prozessionen,Prozession
Habseligkeiten,Habseligkeit
Bastionen,Bastion
Pauschalen,Pauschale
Aufständen,Aufstand
Keulen,Keule
Schlüssen,Schlüssel
Pfeilen,Pfeil
Nachwuchsmannschaften,Nachwuchsmannschaft
Erörterungen,Erörterung
Dissertationen,Dissertation
Homöopathen,Homöopath
Rüstungen,Rüstung
Rauchschwaden,Rauchschwade
Kameradschaften,Kameradschaft
Vereinfachungen,Vereinfachung
Seifenblasen,Seifenblase
Herzrhythmusstörungen,Herzrhythmusstörung
Überarbeitungen,Überarbeitung
Rüden,Rüde
Drehungen,Drehung
Örtlichkeiten,Örtlichkeit
Personendaten,Personendatum
Fäkalien,Fäkalie
Himbeeren,Himbeere
Zoologen,Zoologe
Druckereien,Druckerei
Hundertschaften,Hundertschaft
Büsten,Büste
Fängen,Fang
Scientologen,Scientologe
Trennungen,Trennung
Salaten,Salat
Meditationen,Meditation
Sonden,Sonde
Lauten,Laut
Dynastien,Dynastie
Mosaiken,Mosaik
Analogien,Analogie
Pfalzgrafen,Pfalzgraf
Schicksalen,Schicksal
Barden,Barde
Verleumdungen,Verleumdung
Neurologen,Neurologe
Philologen,Philologe
Wahlurnen,Wahlurne
Neuronen,Neuron
Akzenten,Akzent
Missständen,Missstand
Lotterien,Lotterie
Sachverhalten,Sachverhalt
Gebärden,Gebärde
Residenzen,Residenz
Oratorien,Oratorium
Ornithologen,Ornithologe
Keimen,Keim
Giraffen,Giraffe
Ortseifen,Ortseife
Eidechsen,Eidechse
Patten,Patte
Hauben,Haube
Anschlüssen,Anschluss
Maden,Made
Windungen,Windung
Venen,Vene
Mysterien,Mysterium
Pocken,Pocke
Laboratorien,Laboratorium
Deppen,Depp
Gelenken,Gelenk
Lokalitäten,Lokalität
Wellenlängen,Wellenlänge
Nominierten,Nominiert
Nichten,Nichte
Rotten,Rotte
Meisterschaftsspielen,Meisterschaftsspiel
Sümpfen,Sumpf
Garnelen,Garnele
Reminiszenzen,Reminiszenz
Satiren,Satire
Ähren,Ähre
Großereignissen,Großereignis
Basteleien,Bastelarbeit
Umarmungen,Umarmung
Rheinauen,Rheinau
Spezifikationen,Spezifikation
Dorfmusikanten,Dorfmusikant
Kantinen,Kantine
Putten,Putt
Legehennen,Legehenne
Belehrungen,Belehrung
Horsten,Horst
Saucen,Sauce
Kannibalen,Kannibale
Demoskopen,Demoskop
Verrenkungen,Verrenkung
Symphonien,Symphonie
Scherzen,Scherz
Fußball-bezirksligisten,Fußball-Bezirksligist
Schmetterlingen,Schmetterling
Gutscheinen,Gutschein
Fledermäusen,Fledermaus
Ornamenten,Ornament
Orthopäden,Orthopäde
Befunden,Befund
Provisorien,Provisorium
Andachten,Andacht
Erkältungen,Erkältung
Unkenrufen,Unkenruf
Notizen,Notiz
Polen,Pole
Titanen,Titan
Superintendenten,Superintendent
Binden,Band
Olympioniken,Olympionike
Asten,Ast
Drohgebärden,Drohgebärde
Vertiefungen,Vertiefung
Extremitäten,Extremität
Prospekten,Prospekt
Linguisten,Linguist
Sedimenten,Sediment
Äußerlichkeiten,Äußerlichkeit
Parteigremien,Parteigremium
Echsen,Echse
Argumentationen,Argumentation
Akkorden,Akkord
Einkäufen,Einkauf
Madrilenen,Madrilene
Fritzen,Fritze
Usbeken,Usbeke
Schnitzereien,Schnitzerei
Innungen,Innung
Sticheleien,Stichelei
Allüren,Allüre
Psychosen,Psychose
Burggrafen,Burggraf
Archivalien,Archivalium
Metastasen,Metastase
Rangeleien,Rangelei
Versäumnissen,Versäumnis
Spitzenmannschaften,Spitzenmannschaft
Graden,Grad
Girlanden,Girlande
Rücksichten,Rücksicht
Nachbildungen,Nachbildung
Konkurrenzen,Konkurrenz
Mikrofonen,Mikrofon
Derivaten,Derivat
Manuskripten,Manuskript
Hüllen,Hülle
Hormonen,Hormon
Matrizen,Matrix
Nebelschwaden,Nebelschwade
Gebietsabtretungen,Gebietsabtretung
Begierden,Begierde
Stuten,Stute
Milben,Milbe
Jalousien,Jalousie
Emporen,Empore
Wirklichkeiten,Wirklichkeit
Enthusiasten,Enthusiast
Formalien,Formalie
Marmeladen,Marmelade
Kanzleien,Kanzlei
Dramaturgen,Dramaturg
Pseudonymen,Pseudonym
Kopten,Kopt
Eventualitäten,Eventualität
Intervallen,Intervall
Brillanten,Brillant
Handgriffen,Handgriff
Publikumsmagneten,Publikumsmagnet
Täuschungen,Täuschung
Ewigkeiten,Ewigkeit
Sprengungen,Sprengung
Geranien,Geranie
Lithographien,Lithographie
Fakten,Fakt
Ausleihungen,Ausleihung
Oktaven,Oktave
Schablonen,Schablone
Stäben,Stab
Mittelbünden,Mittelbund
Sandsäcken,Sandsack
Probebohrungen,Probebohrung
Rundungen,Rundung
Kondomen,Kondom
Neuanschaffungen,Neuanschaffung
Rheinlandligisten,Rheinlandligist
Faxen,Fax
Vertonungen,Vertonung
Unken,Unke
Lauben,Laube
Geiselnahmen,Geiselnahme
Korrespondenzen,Korrespondenz
